customer_id,tenure_years,age,region,channel,annual_premium,contacts_last_year,repeat_purchase,lapsed
C000090,9.64,35,north,bank,9815.38,2,0,0
C000091,3.87,42,west,agent,1840.98,2,0,0
C000092,12.27,31,east,bank,1279.38,4,0,0
C000093,1.86,46,east,broker,1969.93,3,0,0
C000094,5.99,54,north,direct,4060.47,1,0,0
C000095,4.35,48,south,broker,1644.89,3,0,0
C000096,5.12,37,east,bank,2429.02,1,0,0
C000097,7.13,61,south,agent,2500.89,2,0,0
C000098,2.51,53,south,agent,2782.96,1,0,0
C000099,5.72,49,south,bank,2306.02,0,0,0
C000100,10.76,49,north,bank,2234.7,2,1,0
C000101,7.54,37,west,bank,3596.12,2,0,0
C000102,5.96,18,west,bank,5253.21,0,0,0
C000103,2.49,62,south,bank,2568.64,3,0,0
C000104,20.75,41,south,agent,5266.57,3,1,0
C000105,6.34,47,north,agent,7322.21,0,1,0
C000106,3.05,48,south,agent,3493.66,2,0,0
C000107,0.84,35,south,agent,2499.73,0,0,0
C000108,5.81,51,south,direct,6069.83,4,0,0
C000109,1.94,73,east,agent,1224.76,0,1,0
C000110,2.77,62,west,agent,1631.82,2,0,0
C000111,7.64,67,south,direct,1553.58,3,1,0
C000112,6.02,43,west,bank,8545.92,4,0,0
C000113,4.55,33,north,agent,3516.07,5,1,0
C000114,2.82,38,east,bank,3168.92,0,0,0
C000115,10.63,46,north,bank,8903.31,2,0,0
C000116,9.58,64,east,direct,8923.94,2,0,0
C000117,5.22,36,south,agent,2685.6,3,0,0
C000118,6.28,33,north,direct,5565.38,1,0,0
C000119,1.7,41,south,broker,1865.36,0,0,0
C000120,3.81,46,east,agent,2366.14,0,0,1
C000121,1.89,51,west,direct,7365.2,2,0,1
C000122,5.12,50,north,agent,2192.54,2,0,0
C000123,9.16,18,west,broker,824.29,2,0,0
C000124,2.03,60,west,agent,4159.87,2,1,0
C000125,1.55,44,west,bank,3385.48,0,0,0
C000126,0.45,34,west,broker,9019.44,2,0,0
C000127,2.31,36,south,broker,1944.93,2,0,0
C000128,10.09,43,west,direct,2135.5,4,0,0
C000129,13.79,35,south,bank,3049.43,2,0,0
C000130,4.8,47,south,agent,1699.6,2,1,0
C000131,2.21,46,south,agent,3994.8,3,0,0
C000132,11.42,45,west,broker,4510.21,2,1,0
C000133,0.71,32,west,bank,3267.65,4,0,0
C000134,8.13,38,east,direct,2384.8,4,1,0
C000135,6.63,32,east,agent,7394.86,1,0,0
C000136,15.34,30,north,broker,4365.52,2,0,0
C000137,8.06,22,east,agent,4435.71,2,0,0
C000138,4.91,34,east,agent,2090.16,2,0,0
C000139,4.85,57,east,direct,4260.72,1,0,0
C000140,9.64,59,west,agent,3324.86,5,0,0
C000141,11.04,32,west,bank,3272.25,1,0,0
C000142,10.17,55,south,bank,5739.46,1,0,0
C000143,8.91,63,north,agent,1278.02,0,0,0
C000144,9.72,58,west,agent,11357.09,2,1,0
C000145,7.06,26,north,agent,3306.42,1,0,0
C000146,7.82,37,south,agent,8269.08,1,0,0
C000147,8.17,36,east,agent,5685.58,3,0,0
C000148,4.21,38,south,broker,1026.22,0,0,0
C000149,2.17,42,west,direct,5496.11,1,0,0
C000150,4.19,60,south,agent,2403.27,2,1,0
C000151,8.89,33,east,agent,3336.64,2,0,0
C000152,9.4,42,north,bank,12955.4,1,0,0
C000153,1.11,35,east,bank,2295.26,2,0,0
C000154,4.49,39,east,bank,2933.55,3,0,0
C000155,5.61,42,south,agent,1262.33,3,0,0
C000156,4.08,27,east,agent,3696.0,4,0,0
C000157,12.13,51,south,agent,4205.73,2,0,0
C000158,5.96,18,north,broker,6389.06,2,0,0
C000159,6.51,59,south,agent,1389.65,3,0,0
C000160,6.64,38,south,broker,4503.53,1,0,0
C000161,0.91,68,south,agent,8101.07,3,0,1
C000162,2.47,54,south,direct,5996.11,1,0,0
C000163,11.43,49,west,agent,4364.12,3,1,0
C000164,1.96,51,south,broker,5203.4,1,0,0
C000165,3.99,65,south,agent,4717.01,0,1,0
C000166,2.08,41,east,agent,2689.46,1,0,0
C000167,6.3,50,south,agent,4617.5,5,0,0
C000168,5.46,26,west,bank,2546.98,4,0,0
C000169,6.56,35,east,broker,10815.54,2,0,0
C000170,2.02,48,west,agent,908.24,1,0,1
C000171,2.19,37,south,bank,6037.67,1,0,0
C000172,7.03,30,west,bank,3931.57,2,0,0
C000173,5.01,34,east,direct,1462.7,1,0,0
C000174,4.96,50,north,direct,4630.2,1,0,0
C000175,1.58,55,south,direct,7265.66,1,0,0
C000176,9.58,33,east,agent,7290.67,1,1,0
C000177,11.79,43,north,broker,4503.61,0,0,0
C000178,9.43,30,north,agent,2877.27,3,1,0
C000179,2.72,30,west,broker,3324.04,1,0,0
C000180,4.43,56,north,broker,3807.07,0,0,0
C000181,5.19,69,north,agent,1994.52,6,0,0
C000182,10.6,45,north,direct,915.22,1,0,0
C000183,2.06,32,west,broker,5337.31,2,0,0
C000184,4.54,50,west,agent,658.59,0,0,0
C000185,9.14,41,east,agent,1024.74,1,0,0
C000186,6.22,33,north,bank,7532.2,1,0,0
C000187,5.8,40,west,agent,5332.15,0,1,0
C000188,1.78,46,west,agent,995.34,2,0,0
C000189,3.11,35,east,direct,8507.47,1,0,0
C000190,6.09,42,south,broker,4671.63,2,0,0
C000191,1.78,42,west,agent,15287.01,2,0,0
C000192,1.59,49,west,bank,11755.72,2,0,0
C000193,11.55,50,south,agent,4765.2,2,1,0
C000194,3.58,27,south,agent,4983.91,3,0,0
C000195,7.11,49,west,direct,4849.71,2,0,0
C000196,6.48,39,south,bank,2739.69,2,0,0
C000197,3.64,36,east,agent,1848.67,2,0,0
C000198,5.29,60,north,agent,3084.15,3,0,0
C000199,6.09,22,east,agent,3006.33,2,0,0
C000200,5.81,58,south,agent,3505.03,5,0,0
C000201,6.22,56,west,broker,3136.77,2,0,0
C000202,4.36,42,north,agent,2060.77,3,0,0
C000203,5.2,45,south,agent,3114.09,1,1,0
C000204,20.57,46,west,agent,4003.09,2,1,0
C000205,9.89,25,north,bank,1789.36,1,1,0
C000206,5.74,25,north,direct,2541.97,2,0,0
C000207,3.84,57,north,bank,3278.3,2,0,0
C000208,1.87,70,west,bank,6881.6,2,0,0
C000209,4.05,56,west,agent,2406.9,1,1,0
C000210,0.67,37,west,direct,7848.12,1,0,0
C000211,22.53,28,north,broker,2683.99,1,0,0
C000212,4.83,56,north,agent,2739.37,0,1,1
C000213,1.37,34,east,bank,10757.56,1,0,0
C000214,0.46,46,east,agent,8291.57,0,1,0
C000215,4.69,34,east,agent,3406.7,4,0,0
C000216,2.3,51,east,agent,2405.41,0,0,0
C000217,17.45,36,north,direct,9159.72,3,0,0
C000218,14.39,49,west,broker,4653.3,4,1,0
C000219,7.37,49,west,agent,8255.11,1,0,0
C000220,15.43,65,north,agent,1788.8,3,1,0
C000221,6.93,29,east,agent,3083.71,1,0,0
C000222,5.43,48,west,agent,3392.03,1,0,0
C000223,9.81,35,south,agent,3849.9,4,0,0
C000224,4.85,40,east,agent,5738.61,3,1,0
C000225,8.77,29,north,direct,2468.46,4,0,0
C000226,6.85,20,east,direct,5768.52,4,1,0
C000227,3.36,53,south,direct,2778.66,1,0,0
C000228,0.34,58,south,direct,5556.27,1,0,1
C000229,11.23,39,south,bank,3346.16,1,0,0
C000230,3.37,64,east,agent,4678.74,0,0,0
C000231,10.64,39,east,agent,2549.44,2,0,0
C000232,6.54,38,west,bank,3862.8,0,0,0
C000233,14.54,36,south,bank,3933.33,0,1,0
C000234,3.08,68,south,bank,5673.57,1,0,0
C000235,3.85,42,east,bank,2107.66,0,0,0
C000236,11.05,43,south,agent,5992.3,5,0,0
C000237,0.31,42,south,broker,9160.18,1,0,1
C000238,11.77,27,west,bank,1421.77,4,0,0
C000239,5.38,37,west,broker,2308.38,1,0,0
C000240,1.22,49,east,broker,5418.64,1,0,0
C000241,5.22,19,north,agent,4735.9,1,0,0
C000242,4.32,41,east,bank,3414.29,1,1,0
C000243,6.88,68,north,direct,5995.5,2,0,0
C000244,7.1,34,north,direct,5409.36,2,1,0
C000245,7.89,60,west,direct,3963.63,4,0,0
C000246,2.66,30,south,agent,5322.53,2,0,0
C000247,0.73,47,east,bank,1525.55,1,0,1
C000248,2.87,54,east,direct,3012.95,3,0,0
C000249,14.81,36,north,agent,3499.2,3,0,0
C000250,9.43,45,north,agent,1812.37,3,0,0
C000251,10.64,55,east,broker,6867.21,0,0,0
C000252,3.52,60,north,bank,7788.32,5,0,0
C000253,5.35,43,south,bank,2331.51,2,0,0
C000254,9.78,33,south,direct,7328.46,6,1,1
C000255,10.03,22,south,bank,1742.01,1,0,0
C000256,11.91,57,north,agent,14944.07,2,1,0
C000257,6.74,38,east,agent,3252.53,3,0,0
C000258,11.95,48,north,broker,1984.04,1,1,0
C000259,1.43,42,east,agent,3162.26,2,0,0
C000260,5.65,74,north,bank,1886.61,3,0,0
C000261,5.14,19,east,broker,5147.19,2,0,0
C000262,4.5,58,north,bank,2009.82,4,0,0
C000263,10.06,27,north,direct,1337.95,2,1,0
C000264,3.68,63,west,agent,2346.32,3,0,0
C000265,14.36,29,north,bank,8124.04,1,0,0
C000266,11.16,28,west,bank,10230.79,0,0,0
C000267,5.39,48,south,agent,2942.72,0,0,0
C000268,3.34,28,east,bank,4667.07,4,0,0
C000269,5.76,58,west,direct,2899.03,2,0,0
C000270,6.95,55,north,bank,3209.19,0,1,0
C000271,4.21,42,west,agent,2457.53,3,0,0
C000272,0.64,59,east,bank,4479.01,2,0,0
C000273,3.0,47,west,direct,4425.03,1,0,1
C000274,4.55,42,north,direct,5907.66,2,0,0
C000275,2.67,52,south,agent,2252.5,2,0,0
C000276,5.62,61,north,bank,2757.08,3,0,0
C000277,4.21,47,east,agent,5013.51,3,0,0
C000278,9.58,50,south,direct,3911.54,4,1,0
C000279,7.55,33,east,agent,2062.96,0,0,0
C000280,6.53,31,east,agent,3528.98,3,0,0
C000281,1.25,36,east,bank,5304.93,1,1,0
C000282,1.6,41,west,agent,5110.45,2,0,0
C000283,5.32,41,south,bank,1506.89,0,0,0
C000284,7.84,39,south,broker,2183.85,1,1,0
C000285,6.76,51,east,bank,3009.65,4,0,0
C000286,2.73,64,west,bank,1324.22,1,1,0
C000287,7.51,50,north,direct,7167.93,1,0,0
C000288,8.4,59,north,direct,4814.3,3,0,0
C000289,10.53,54,east,broker,4787.57,2,0,0
C000290,7.87,40,north,agent,3809.45,1,0,0
C000291,4.05,35,west,agent,5443.28,2,0,0
C000292,5.52,29,west,agent,5682.64,3,0,0
C000293,5.09,56,south,bank,2561.69,1,0,1
C000294,3.46,52,west,bank,5604.94,3,1,0
C000295,1.02,62,west,agent,3958.85,1,0,0
C000296,1.12,48,west,bank,4182.98,2,0,0
C000297,13.45,37,south,agent,2829.04,2,1,0
C000298,0.96,33,east,agent,6568.39,0,0,0
C000299,3.69,38,south,direct,3533.05,4,0,0
C000300,1.42,45,west,broker,3730.91,1,0,0
C000301,4.26,46,north,agent,4485.26,1,0,0
C000302,24.09,47,north,agent,2318.45,4,1,0
C000303,8.75,62,east,agent,4442.17,1,0,0
C000304,0.71,56,east,agent,3144.36,4,0,0
C000305,2.06,41,south,agent,4303.39,2,0,0
C000306,6.89,30,west,direct,3616.07,1,0,0
C000307,5.13,43,south,bank,1975.68,4,0,0
C000308,7.62,37,west,direct,6859.81,4,0,0
C000309,0.91,48,west,bank,895.4,3,0,0
C000310,5.58,56,north,broker,2090.06,1,1,0
C000311,8.16,48,north,direct,3751.18,3,0,0
C000312,6.82,49,north,bank,1636.7,0,0,0
C000313,1.71,62,south,bank,1635.14,1,0,0
C000314,3.73,31,east,direct,9138.03,2,0,1
C000315,2.99,40,west,agent,3324.66,2,0,0
C000316,2.28,33,south,bank,2137.99,2,0,0
C000317,2.06,43,east,agent,6631.77,5,0,0
C000318,5.13,45,east,direct,2046.26,4,0,0
C000319,1.29,55,south,agent,6507.48,2,0,0
C000320,14.65,69,north,bank,5494.2,6,0,0
C000321,1.86,44,south,agent,3359.16,1,0,0
C000322,2.45,27,south,agent,3052.53,2,0,0
C000323,7.81,41,south,agent,2194.71,1,0,0
C000324,6.2,35,south,bank,3811.97,1,0,0
C000325,6.46,25,north,agent,2359.7,3,0,1
C000326,3.42,54,west,agent,3214.8,4,0,0
C000327,5.62,18,east,agent,8577.27,3,0,0
C000328,0.59,56,west,direct,2413.56,2,0,0
C000329,1.89,80,west,agent,5378.89,3,0,0
C000330,4.86,46,south,bank,3095.12,1,0,0
C000331,4.89,64,north,agent,3249.56,4,1,1
C000332,3.2,59,west,agent,9189.32,3,0,0
C000333,3.22,36,west,direct,1792.24,3,0,1
C000334,0.6,50,south,bank,3532.11,4,0,0
C000335,5.14,31,north,bank,7425.79,1,0,0
C000336,1.59,40,west,agent,4068.06,1,0,0
C000337,4.76,51,east,broker,6254.85,1,0,0
C000338,6.28,62,south,bank,7895.4,0,1,0
C000339,0.49,42,south,agent,4132.73,3,0,0
C000340,5.04,51,south,agent,1202.23,1,1,0
C000341,7.28,68,north,agent,2630.22,1,0,0
C000342,4.33,32,north,agent,2730.15,1,0,0
C000343,4.17,58,south,agent,2707.12,0,0,0
C000344,6.09,18,north,bank,5148.46,0,0,0
C000345,2.09,32,south,agent,725.7,4,0,0
C000346,6.38,52,east,agent,6675.8,4,0,0
C000347,8.26,18,west,broker,16196.4,4,0,0
C000348,8.01,34,north,agent,9266.68,2,0,0
C000349,11.41,37,east,bank,2892.65,3,0,0
C000350,0.75,45,east,bank,8745.76,4,0,0
C000351,10.05,49,north,agent,4748.15,3,0,1
C000352,2.35,58,west,agent,6041.1,2,1,0
C000353,4.01,52,south,broker,5521.75,2,0,0
C000354,7.67,44,north,bank,8242.68,2,1,0
C000355,11.43,60,east,bank,6634.76,1,1,0
C000356,4.2,19,east,direct,4251.2,4,0,0
C000357,0.79,68,west,broker,4728.41,0,0,0
C000358,4.45,36,south,agent,10541.58,1,1,0
C000359,6.19,41,west,direct,3038.79,1,0,0
C000360,0.56,83,east,agent,2756.43,2,0,0
C000361,4.12,55,west,agent,2840.19,3,0,0
C000362,6.34,45,west,broker,7888.57,3,0,0
C000363,3.27,38,west,agent,1571.92,4,0,1
C000364,0.64,54,east,agent,3249.69,1,0,0
C000365,3.84,35,south,bank,2283.25,2,0,0
C000366,6.59,59,north,direct,3043.68,2,0,0
C000367,7.94,46,west,direct,5493.34,2,0,1
C000368,1.87,58,east,agent,5272.8,6,0,0
C000369,1.86,25,west,agent,2044.28,0,0,0
C000370,4.47,44,west,agent,1489.64,4,0,0
C000371,4.17,18,east,agent,2195.63,3,0,0
C000372,3.02,50,west,direct,1952.67,4,0,0
C000373,4.14,34,north,agent,3077.3,3,0,0
C000374,0.54,39,south,agent,4728.37,3,0,1
C000375,1.23,57,west,direct,1734.78,2,1,0
C000376,3.04,35,south,agent,11269.92,3,0,1
C000377,3.28,35,south,bank,1297.22,3,0,0
C000378,1.85,62,south,bank,2063.16,1,0,0
C000379,1.96,24,east,agent,3710.83,6,0,1
C000380,1.07,63,south,bank,5592.5,1,0,0
C000381,1.93,51,west,agent,3855.76,1,0,0
C000382,5.27,45,south,broker,17154.59,1,0,0
C000383,2.82,54,east,direct,6852.3,1,0,0
C000384,4.33,41,north,direct,3044.23,4,0,0
C000385,4.05,52,east,broker,4694.48,3,0,0
C000386,4.2,64,east,agent,3804.23,2,0,0
C000387,6.48,43,east,broker,3038.35,2,0,0
C000388,0.46,44,south,direct,6933.41,2,0,1
C000389,8.31,51,east,agent,1764.4,2,0,0
C000390,9.15,41,south,broker,2474.47,0,0,0
C000391,10.1,54,south,agent,3450.2,3,0,0
C000392,4.78,36,west,agent,2748.37,4,0,0
C000393,11.27,32,west,agent,3346.12,0,1,0
C000394,8.79,40,north,agent,6075.23,0,0,0
C000395,9.88,38,south,agent,1119.16,2,0,0
C000396,12.74,42,east,agent,2752.01,1,1,0
C000397,4.65,54,north,agent,2031.42,2,0,0
C000398,5.97,45,north,bank,4691.78,0,0,0
C000399,10.39,19,north,bank,3989.86,1,0,0
C000400,6.35,51,east,broker,5547.38,0,0,0
C000401,5.07,26,south,agent,3025.16,1,0,0
C000402,7.96,46,east,bank,6920.21,1,0,1
C000403,5.81,32,north,direct,2982.25,0,0,0
C000404,2.75,71,west,bank,2045.5,1,0,0
C000405,0.74,44,east,bank,4711.8,2,0,0
C000406,7.35,41,south,direct,1493.35,4,0,0
C000407,9.67,63,west,direct,4548.23,1,0,0
C000408,3.68,60,north,broker,2365.33,2,0,0
C000409,1.81,18,west,direct,3376.11,1,0,0
C000410,2.65,47,west,broker,2284.28,2,0,0
C000411,3.01,41,east,agent,3425.43,0,0,0
C000412,6.73,50,west,agent,2367.8,2,1,0
C000413,7.88,26,north,direct,4146.02,1,0,0
C000414,5.02,29,north,agent,4568.06,0,0,0
C000415,5.33,44,west,agent,6057.33,3,1,0
C000416,4.64,43,north,agent,3470.76,2,1,0
C000417,4.15,60,east,agent,3311.95,3,1,0
C000418,1.21,46,east,direct,6466.19,2,0,1
C000419,3.99,27,east,direct,3906.39,1,0,0
C000420,2.7,53,south,broker,920.47,3,0,0
C000421,5.16,29,west,agent,3062.07,2,0,0
C000422,3.13,60,west,agent,3374.5,2,0,0
C000423,6.43,48,west,agent,3578.64,1,0,0
C000424,5.58,30,north,agent,5361.25,1,0,0
C000425,5.27,51,east,direct,2367.75,1,0,0
C000426,9.3,27,north,agent,3473.88,0,0,0
C000427,2.8,33,west,bank,8654.38,0,1,0
C000428,2.82,57,south,agent,4625.95,1,1,0
C000429,5.68,41,north,broker,4914.9,1,0,1
C000430,2.99,40,west,agent,3870.46,3,0,0
C000431,6.15,45,west,agent,1540.0,2,0,1
C000432,6.06,69,east,agent,3098.85,1,1,0
C000433,9.79,51,west,bank,5343.74,1,0,0
C000434,3.51,51,south,broker,1908.26,2,1,0
C000435,15.29,21,south,bank,2539.83,3,0,0
C000436,5.16,51,south,broker,3235.39,4,0,0
C000437,3.23,53,east,broker,1869.52,2,0,1
C000438,6.61,67,south,broker,1207.95,3,0,0
C000439,12.8,58,east,agent,4548.38,4,0,0
C000440,17.4,18,west,agent,7085.48,0,0,0
C000441,5.76,33,north,bank,2456.63,4,0,0
C000442,5.97,52,west,broker,2739.23,2,0,0
C000443,7.53,52,west,direct,5673.35,5,0,0
C000444,6.28,23,north,agent,2633.9,6,0,0
C000445,7.09,38,west,bank,4133.27,1,0,1
C000446,10.7,41,north,broker,1691.29,1,1,0
C000447,6.79,51,north,agent,4522.25,1,1,0
C000448,5.62,68,north,agent,1282.96,3,0,0
C000449,4.76,26,north,bank,1852.13,3,1,0
C000450,1.26,26,south,agent,1944.0,1,0,0
C000451,5.68,48,south,broker,14281.33,1,1,1
C000452,2.62,39,east,broker,3740.77,2,0,0
C000453,3.51,45,west,agent,4952.13,1,0,0
C000454,1.75,45,south,bank,4695.5,2,0,1
C000455,5.03,45,west,direct,1832.33,1,0,0
C000456,6.04,24,west,direct,3557.76,0,0,0
C000457,4.72,25,east,direct,3984.52,1,0,0
C000458,0.96,59,west,agent,4797.22,1,0,0
C000459,12.73,61,east,bank,5748.79,4,0,0
C000460,6.28,43,north,agent,3114.54,1,0,0
C000461,1.17,60,west,broker,3576.69,2,0,1
C000462,7.87,18,south,agent,5900.76,3,0,0
C000463,3.27,53,south,agent,1284.01,0,1,0
C000464,2.51,22,east,direct,8721.62,3,0,0
C000465,9.01,32,west,agent,1312.58,4,1,1
C000466,5.42,52,east,broker,4982.28,3,0,0
C000467,7.23,45,north,direct,2057.68,1,0,0
C000468,11.31,46,west,agent,2960.51,0,0,0
C000469,3.13,38,east,bank,2458.58,1,0,0
C000470,1.7,30,south,agent,5011.08,2,0,0
C000471,1.65,42,west,agent,1662.38,0,0,0
C000472,5.81,66,south,agent,6661.42,3,0,0
C000473,1.93,52,east,agent,6021.77,1,0,0
C000474,6.29,40,south,bank,7133.24,1,0,0
C000475,13.15,72,north,direct,1506.06,3,1,0
C000476,3.76,24,north,bank,8939.86,1,0,1
C000477,2.7,58,west,bank,4563.49,1,0,0
C000478,7.87,32,south,agent,5722.37,2,1,0
C000479,0.56,18,east,bank,4213.72,2,0,0
C000480,11.87,31,east,broker,2653.62,2,0,1
C000481,6.48,18,north,direct,5000.88,2,0,1
C000482,8.0,35,north,bank,929.0,3,0,0
C000483,9.97,44,west,bank,3786.51,3,1,0
C000484,4.76,53,south,bank,2815.0,1,0,0
C000485,8.16,31,west,broker,3314.71,3,0,0
C000486,2.62,46,south,agent,4312.9,4,1,1
C000487,11.26,67,east,direct,1294.09,0,0,0
C000488,1.54,50,west,direct,8604.48,3,0,0
C000489,7.6,46,east,agent,3227.0,3,1,0
C000490,3.12,47,south,bank,1511.78,0,0,0
C000491,3.09,56,west,agent,2648.45,2,0,0
C000492,3.99,49,west,agent,4516.45,1,0,0
C000493,4.36,43,south,agent,6844.78,0,1,0
C000494,7.0,34,west,direct,5231.48,1,0,0
C000495,4.71,31,north,agent,3785.26,3,0,0
C000496,1.0,35,east,broker,2817.92,2,0,0
C000497,1.43,53,east,agent,2413.37,1,0,0
C000498,7.52,51,west,bank,4083.54,0,0,0
C000499,7.47,50,north,agent,1871.98,2,1,0
C000500,10.38,48,north,agent,3734.6,3,1,0
C000501,11.56,25,west,bank,3594.51,2,0,0
C000502,1.67,55,south,agent,2254.07,1,0,0
C000503,1.19,33,south,direct,9400.58,2,0,1
C000504,12.48,18,north,bank,3774.9,2,0,0
C000505,19.57,55,east,bank,2571.21,4,1,0
C000506,15.96,50,west,broker,3028.99,1,0,0
C000507,4.74,30,east,bank,2003.14,0,0,0
C000508,1.71,41,east,bank,4495.03,1,0,0
C000509,4.3,43,north,agent,3242.6,0,1,0
C000510,5.38,49,east,bank,13387.2,1,0,0
C000511,4.15,33,east,agent,3162.94,3,0,0
C000512,4.33,37,north,direct,3323.85,0,1,0
C000513,3.12,40,west,bank,11102.16,2,0,0
C000514,11.11,46,west,agent,2185.26,0,0,0
C000515,5.8,48,west,agent,2132.47,4,1,0
C000516,0.96,59,east,bank,2609.29,6,0,0
C000517,1.56,40,east,bank,7581.08,4,0,0
C000518,1.51,49,west,direct,2976.31,3,0,0
C000519,5.49,51,south,bank,4220.69,1,0,0
C000520,14.8,42,west,broker,2140.4,3,1,0
C000521,8.28,52,east,bank,2200.95,4,1,0
C000522,16.69,40,south,bank,1087.84,2,0,0
C000523,2.91,25,east,bank,1772.1,1,0,1
C000524,5.62,56,south,agent,1701.24,0,0,0
C000525,11.41,56,south,bank,2423.36,1,0,0
C000526,0.6,55,south,broker,4303.13,0,0,0
C000527,4.83,38,west,direct,3520.26,1,0,0
C000528,1.62,52,south,agent,8498.99,1,0,0
C000529,4.02,38,south,agent,6032.34,3,0,1
C000530,5.04,62,east,agent,1233.82,1,0,0
C000531,3.84,50,west,direct,2562.95,4,0,1
C000532,5.37,22,north,direct,6679.6,2,0,0
C000533,7.44,42,south,agent,3150.2,4,0,0
C000534,7.8,48,west,broker,1790.78,0,0,1
