claim_id,assessor_name,claim_type,notification_channel,complexity_score,prior_claims,days_to_report,settled_amount,days_to_settle,leakage_flag
CL000154,A20,property,online,5,0,7.7,2950.51,33.7,0
CL000155,A2,travel,online,3,2,11.5,243.89,36.3,0
CL000156,A20,health,online,4,3,11.4,2830.42,47.2,1
CL000157,A26,health,phone,5,1,19.2,514.77,54.3,1
CL000158,A16,property,online,4,0,7.0,731.69,48.4,1
CL000159,A13,property,online,5,1,7.8,252313.5,31.7,0
CL000160,A17,motor,broker,2,0,1.8,2645.08,37.4,1
CL000161,A28,property,broker,2,0,10.1,1451.33,20.5,0
CL000162,A7,motor,broker,2,0,2.8,2821.54,14.8,0
CL000163,A20,property,phone,5,0,10.4,7122.52,30.5,0
CL000164,A15,motor,broker,4,1,4.9,4751.65,25.1,0
CL000165,A19,motor,broker,4,2,7.6,2862.14,38.0,0
CL000166,A0,property,online,4,1,2.7,4122.72,32.1,0
CL000167,A11,health,online,2,0,28.6,953.66,27.3,0
CL000168,A22,motor,online,3,0,1.7,8478.63,20.2,0
CL000169,A7,health,phone,3,1,5.2,2142.01,22.0,0
CL000170,A27,motor,broker,5,1,3.9,13522.08,31.4,0
CL000171,A26,property,phone,1,1,16.4,988.09,15.9,0
CL000172,A21,property,phone,3,1,6.5,14746.85,29.5,0
CL000173,A11,health,phone,4,0,1.5,3160.98,25.5,0
CL000174,A28,health,online,1,2,0.9,1428.41,14.5,0
CL000175,A13,health,broker,2,1,10.8,7388.39,23.0,0
CL000176,A22,health,online,4,0,42.7,509.49,37.9,0
CL000177,A27,health,broker,2,3,1.2,1105.66,18.6,0
CL000178,A1,motor,phone,1,0,5.6,1402.33,15.3,0
CL000179,A24,property,online,5,1,10.3,2555.88,29.1,0
CL000180,A7,travel,online,3,0,5.2,1484.72,20.1,0
CL000181,A3,motor,phone,2,0,7.5,1181.29,18.4,0
CL000182,A20,motor,phone,4,1,5.8,4404.84,35.7,0
CL000183,A28,motor,phone,1,2,21.2,740.96,21.1,0
CL000184,A25,property,online,3,0,18.7,3208.72,49.5,1
CL000185,A4,motor,online,5,0,12.9,2934.03,39.7,0
CL000186,A20,health,phone,4,0,9.4,3865.03,30.6,0
CL000187,A25,health,online,4,1,14.6,2408.55,35.5,0
CL000188,A14,travel,online,3,1,2.2,673.36,28.4,0
CL000189,A29,travel,phone,3,3,7.3,889.11,55.3,1
CL000190,A0,motor,online,4,1,7.6,10062.14,25.3,0
CL000191,A1,motor,online,1,1,15.3,3823.98,28.3,0
CL000192,A22,property,phone,4,0,5.4,1579.84,27.3,0
CL000193,A11,motor,online,2,0,8.7,3791.36,32.4,0
CL000194,A28,health,phone,5,0,0.4,455.13,28.9,0
CL000195,A14,health,online,3,1,0.1,2193.79,19.0,0
CL000196,A2,motor,online,4,0,16.0,3322.07,48.1,1
CL000197,A9,motor,online,5,0,6.7,3574.88,49.3,1
CL000198,A16,motor,online,4,2,8.8,1552.76,25.4,0
CL000199,A14,health,online,2,0,11.7,2429.84,19.8,0
CL000200,A29,property,online,4,2,24.8,2566.77,29.8,0
CL000201,A11,property,online,1,0,18.1,50219.5,18.8,0
CL000202,A2,motor,broker,1,2,11.1,5334.07,15.0,0
CL000203,A13,motor,online,5,1,10.4,3970.27,34.0,0
CL000204,A7,health,broker,1,0,19.2,1039.58,23.4,0
CL000205,A6,motor,online,1,1,46.4,322.57,23.2,0
CL000206,A6,health,online,3,0,14.6,7063.24,22.4,0
CL000207,A26,property,phone,4,0,6.2,4989.28,28.6,0
CL000208,A18,health,phone,3,2,3.7,6590.28,22.7,0
CL000209,A8,health,online,2,0,2.8,469.49,15.7,0
CL000210,A24,health,broker,1,0,0.1,555.15,12.8,0
CL000211,A17,travel,phone,3,0,14.3,1838.11,22.6,0
CL000212,A25,motor,phone,1,0,16.4,362.4,13.5,0
CL000213,A18,property,online,2,3,5.7,2052.2,19.0,0
CL000214,A0,health,phone,5,0,4.3,3825.32,49.0,1
CL000215,A10,health,phone,2,0,5.8,1599.15,39.8,1
CL000216,A18,health,phone,3,0,4.4,2778.87,23.7,0
CL000217,A21,health,phone,5,2,3.4,4258.33,52.7,1
CL000218,A3,property,phone,5,0,28.2,939.65,33.7,0
CL000219,A17,property,online,1,0,4.4,1677.61,42.4,1
CL000220,A17,health,online,5,2,16.6,2517.81,31.1,0
CL000221,A14,travel,online,1,0,6.6,4702.79,12.9,0
CL000222,A11,motor,phone,5,1,11.8,4065.04,37.5,0
CL000223,A11,motor,broker,4,0,3.9,27895.81,24.4,0
CL000224,A20,motor,online,3,3,1.3,1542.6,23.6,0
CL000225,A3,travel,phone,1,1,6.8,558.95,18.9,0
CL000226,A27,health,broker,5,3,5.1,874.19,49.8,1
CL000227,A21,property,phone,3,1,1.2,1997.67,25.6,0
CL000228,A20,motor,online,1,2,3.7,246.26,17.1,0
CL000229,A17,travel,phone,3,0,5.0,2955.6,25.5,0
CL000230,A27,motor,online,5,0,28.7,3370.34,45.5,0
CL000231,A29,motor,broker,5,1,6.2,2950.16,48.9,1
CL000232,A8,property,online,3,0,6.3,967.15,23.1,0
CL000233,A1,health,online,3,1,40.4,3585.61,29.5,0
CL000234,A13,property,phone,5,0,10.8,6688.95,32.2,0
CL000235,A26,health,broker,3,0,14.5,2090.1,26.8,0
CL000236,A19,motor,online,2,0,32.5,2185.77,30.6,0
CL000237,A4,property,online,5,0,1.8,2718.07,27.8,0
CL000238,A23,motor,online,1,0,5.5,1089.82,18.9,0
CL000239,A3,motor,phone,1,3,14.3,531.88,13.8,0
CL000240,A7,property,phone,1,2,6.7,54.03,15.3,0
CL000241,A15,health,phone,3,1,14.4,4830.94,28.6,0
CL000242,A29,motor,broker,3,0,9.0,6550.57,45.8,1
CL000243,A22,travel,broker,3,2,8.4,969.89,23.8,0
CL000244,A16,health,online,1,0,4.8,1973.37,19.2,0
CL000245,A10,health,phone,2,2,6.0,1066.43,17.5,0
CL000246,A22,motor,phone,5,1,15.9,948.08,34.1,0
CL000247,A27,motor,phone,4,1,11.5,5675.64,25.4,0
CL000248,A12,property,broker,2,0,2.9,604.96,16.8,0
CL000249,A1,motor,online,1,1,9.0,2400.42,13.5,0
CL000250,A3,motor,online,3,0,12.5,2290.54,24.5,0
CL000251,A4,motor,online,2,0,8.1,5490.66,17.7,0
CL000252,A17,health,broker,5,0,2.0,2307.74,56.1,1
CL000253,A0,motor,phone,2,1,13.3,3435.69,18.1,0
CL000254,A0,health,online,4,0,2.5,321.45,37.4,0
CL000255,A16,property,phone,3,3,6.3,9908.64,27.2,0
CL000256,A21,property,broker,2,2,2.3,6653.59,37.2,1
CL000257,A28,motor,phone,5,2,2.2,7213.59,34.4,0
CL000258,A28,health,phone,4,1,11.0,552.17,34.6,0
CL000259,A3,property,online,3,0,3.1,3695.88,20.3,0
CL000260,A6,motor,phone,5,0,2.9,1883.64,30.9,0
CL000261,A18,health,online,4,2,3.9,3659.25,37.4,0
CL000262,A19,motor,online,3,2,0.7,2696.43,20.7,0
CL000263,A8,motor,online,5,0,7.8,3067.3,49.7,1
CL000264,A27,motor,broker,1,0,5.5,908.56,12.8,0
CL000265,A3,motor,phone,1,1,3.1,1786.99,13.2,0
CL000266,A15,health,phone,4,0,6.8,1379.97,25.0,0
CL000267,A2,motor,broker,5,0,10.2,9616.44,52.9,1
CL000268,A12,property,online,4,0,0.4,3485.48,24.3,0
CL000269,A28,health,phone,5,1,6.3,22708.14,54.8,1
CL000270,A0,travel,online,5,1,13.0,877.46,36.1,0
CL000271,A11,motor,phone,1,1,2.5,4756.29,34.2,1
CL000272,A18,health,online,2,1,3.7,374.14,45.3,1
CL000273,A10,motor,phone,2,1,5.5,3016.86,23.4,0
CL000274,A7,health,online,1,1,1.7,159.0,14.1,0
CL000275,A16,property,online,5,0,22.4,12994.87,34.5,0
CL000276,A22,property,online,1,1,2.0,373.97,21.8,0
CL000277,A13,motor,phone,1,0,3.7,199.21,11.8,0
CL000278,A24,motor,online,3,0,8.8,309.64,21.7,0
CL000279,A24,property,online,5,0,13.6,1570.07,34.8,0
CL000280,A25,travel,online,2,1,3.2,1286.73,21.5,0
CL000281,A29,property,phone,3,2,5.0,2126.96,24.6,0
CL000282,A17,health,online,4,0,21.8,1625.31,41.4,0
CL000283,A20,property,online,1,1,6.5,1115.98,14.5,0
CL000284,A28,motor,phone,5,0,11.7,12750.6,30.3,0
CL000285,A9,motor,online,1,0,1.0,902.01,10.3,0
CL000286,A26,motor,broker,1,1,7.7,425.71,17.9,0
CL000287,A3,property,phone,2,1,0.9,1768.29,16.0,0
CL000288,A13,motor,online,5,2,13.4,1206.26,32.6,0
CL000289,A24,health,phone,3,1,5.2,170.55,24.3,0
CL000290,A27,travel,online,1,2,22.3,588.58,25.4,0
CL000291,A13,property,online,5,1,11.3,2673.76,29.3,0
CL000292,A24,motor,online,1,0,30.7,1116.59,17.3,0
CL000293,A16,property,phone,3,0,13.5,2935.58,20.8,0
CL000294,A28,health,phone,3,0,3.8,3552.65,20.5,0
CL000295,A29,property,phone,4,0,6.0,3464.73,45.0,1
CL000296,A15,property,phone,2,0,22.4,1127.65,33.9,0
CL000297,A16,health,phone,5,0,16.0,7895.74,45.9,0
CL000298,A27,motor,online,1,1,5.7,3388.27,24.6,0
CL000299,A9,health,online,1,0,2.4,1190.11,24.6,0
CL000300,A17,health,online,3,2,2.9,27932.8,24.8,0
CL000301,A27,health,broker,4,2,20.9,2736.29,49.2,1
CL000302,A3,health,broker,5,1,17.5,3556.07,51.2,1
CL000303,A9,motor,phone,1,0,16.9,1106.22,20.3,0
CL000304,A28,motor,online,3,1,6.8,1254.59,25.0,0
CL000305,A4,motor,phone,1,1,2.1,3484.46,14.3,0
CL000306,A4,property,online,1,0,8.0,2776.13,14.7,0
CL000307,A25,motor,online,3,1,22.8,4507.89,27.5,0
CL000308,A3,health,phone,4,0,20.2,1373.92,36.4,0
CL000309,A11,health,online,2,0,3.8,10101.87,25.5,0
CL000310,A17,property,online,1,0,19.0,554.36,15.4,0
CL000311,A0,motor,online,2,0,32.9,1090.93,30.5,0
CL000312,A16,travel,broker,4,1,6.2,11802.71,32.9,0
CL000313,A22,travel,phone,4,1,1.7,4982.98,32.8,0
CL000314,A26,motor,phone,3,0,20.0,2597.25,44.2,1
CL000315,A2,motor,online,2,0,8.4,508.2,18.4,0
CL000316,A28,motor,phone,4,1,7.1,2635.14,29.2,0
CL000317,A10,health,phone,2,0,5.6,681.91,27.4,0
CL000318,A21,motor,online,5,1,6.9,6685.19,29.4,0
CL000319,A19,motor,online,5,1,7.1,5551.44,31.8,0
CL000320,A19,motor,phone,4,1,5.9,5143.89,27.7,0
CL000321,A6,property,broker,4,0,23.1,1320.6,52.3,1
CL000322,A9,health,phone,3,1,0.7,1444.06,23.7,0
CL000323,A23,motor,online,1,0,5.2,917.66,11.2,0
CL000324,A14,property,phone,5,0,2.8,43805.18,27.7,0
CL000325,A14,property,broker,1,3,6.7,3839.58,15.8,0
CL000326,A22,motor,online,4,0,8.6,5109.77,28.5,0
CL000327,A27,health,phone,2,1,5.3,1494.74,19.2,0
CL000328,A16,motor,broker,2,0,4.9,753.09,15.6,0
CL000329,A6,motor,phone,1,1,6.2,2028.53,31.1,1
CL000330,A23,motor,broker,3,1,3.5,1198.0,20.7,0
CL000331,A19,motor,phone,4,2,7.0,2163.69,32.7,0
CL000332,A0,property,online,4,1,1.9,1013.74,28.3,0
CL000333,A26,motor,phone,2,0,4.8,3261.42,31.3,0
CL000334,A20,motor,broker,4,0,14.9,2177.46,28.3,0
CL000335,A0,health,phone,3,0,19.7,4345.4,23.5,0
CL000336,A24,motor,online,3,1,5.4,1391.53,31.5,0
CL000337,A14,health,online,3,1,14.2,4830.84,27.9,0
CL000338,A21,motor,phone,4,0,9.5,1855.63,34.8,0
CL000339,A12,property,online,5,0,6.0,6919.44,47.7,1
CL000340,A17,motor,phone,2,1,30.6,4569.41,24.3,0
CL000341,A26,health,online,5,3,11.5,3087.48,33.7,0
CL000342,A24,motor,online,3,0,0.8,818.79,20.8,0
CL000343,A19,motor,broker,3,0,2.6,1081.81,43.0,1
CL000344,A6,motor,online,2,2,4.4,573.32,18.9,0
CL000345,A28,motor,phone,1,1,1.1,728.46,11.5,0
CL000346,A21,health,phone,2,2,5.0,3079.73,21.7,0
CL000347,A10,health,online,1,1,15.8,961.48,19.5,0
CL000348,A25,property,phone,3,0,26.0,602.04,29.5,0
CL000349,A19,motor,broker,2,2,3.7,4706.14,39.0,1
CL000350,A7,health,online,1,0,0.6,1024.67,16.4,0
CL000351,A2,travel,broker,2,3,0.9,1753.78,40.8,1
CL000352,A29,motor,phone,2,3,2.7,114309.5,14.1,0
CL000353,A13,property,phone,1,0,5.1,4922.73,11.2,0
CL000354,A27,property,online,4,1,10.9,4429.22,26.6,0
CL000355,A3,property,broker,4,0,9.0,1819.72,49.0,1
CL000356,A19,motor,broker,5,2,4.5,2414.5,28.7,0
CL000357,A13,motor,online,1,2,2.7,4518.16,20.5,0
CL000358,A2,property,phone,2,3,1.8,498.02,14.5,0
CL000359,A15,property,online,3,1,1.8,2008.38,22.0,0
CL000360,A15,motor,online,2,0,6.9,3711.73,26.0,0
CL000361,A29,travel,phone,4,1,14.0,6882.7,26.3,0
CL000362,A23,property,broker,5,2,12.1,2215.85,50.3,1
CL000363,A25,property,online,5,1,9.5,6882.83,32.2,0
CL000364,A26,health,online,1,3,3.0,3381.25,11.5,0
CL000365,A1,motor,phone,3,0,0.6,1148.64,18.8,0
CL000366,A23,property,online,4,0,5.9,749.39,26.6,0
CL000367,A16,health,broker,5,0,6.0,2462.85,32.8,0
CL000368,A13,motor,online,3,0,3.9,5818.54,31.6,0
CL000369,A26,property,online,3,2,4.1,4598.11,21.9,0
CL000370,A11,motor,broker,5,0,6.1,1073.54,31.2,0
CL000371,A3,property,phone,1,2,1.7,759.91,13.5,0
CL000372,A26,health,online,2,2,9.7,949.6,24.1,0
CL000373,A4,health,online,3,1,2.2,1148.39,24.3,0
CL000374,A6,property,phone,2,0,14.5,243.68,20.7,0
CL000375,A5,motor,online,2,1,2.7,3586.32,25.3,0
CL000376,A7,motor,phone,4,0,6.4,1060.06,42.2,0
CL000377,A12,property,phone,5,1,1.5,5968.73,30.6,0
CL000378,A24,health,phone,3,2,14.0,3852.73,27.3,0
CL000379,A5,property,phone,3,0,3.0,2590.31,20.5,0
CL000380,A4,property,broker,3,2,0.2,794.13,24.7,0
CL000381,A29,health,online,5,0,8.6,1415.08,39.1,0
CL000382,A26,motor,online,3,0,1.3,1654.2,23.7,0
CL000383,A15,property,online,1,0,7.8,924.51,17.7,0
CL000384,A21,motor,phone,5,1,3.5,2779.97,32.2,0
CL000385,A17,motor,phone,3,0,2.5,15742.25,24.8,0
CL000386,A11,motor,phone,3,1,21.5,1265.14,25.7,0
CL000387,A11,motor,online,3,0,12.2,2479.12,22.3,0
CL000388,A11,motor,online,1,1,13.1,585.51,14.7,0
CL000389,A25,property,online,5,2,8.7,66873.25,29.6,0
CL000390,A17,health,online,1,0,11.1,5492.39,21.3,0
CL000391,A19,property,online,4,1,14.5,4575.79,25.8,0
CL000392,A0,travel,online,2,0,8.2,794.83,24.6,0
CL000393,A14,health,phone,4,1,4.1,5877.8,54.7,1
CL000394,A24,motor,online,2,1,5.3,6744.12,15.3,0
CL000395,A16,health,broker,2,3,2.9,1429.01,37.9,1
CL000396,A23,motor,broker,3,0,12.5,5751.61,26.3,0
CL000397,A9,health,phone,3,2,35.8,788.1,48.8,1
CL000398,A1,motor,phone,4,0,5.4,23659.79,29.8,0
CL000399,A20,health,phone,3,1,14.1,1728.11,24.2,0
CL000400,A1,property,broker,3,2,4.2,2951.94,19.9,0
CL000401,A11,health,online,1,0,5.3,579.48,17.6,0
CL000402,A23,health,online,2,0,9.9,9376.19,23.2,0
CL000403,A24,health,online,5,1,7.6,7142.94,30.5,0
CL000404,A26,motor,online,5,0,13.2,1253.78,35.6,0
CL000405,A21,health,phone,3,2,1.5,5166.61,18.7,0
CL000406,A6,health,broker,5,1,22.8,2597.52,34.4,0
CL000407,A0,property,online,2,0,15.4,8905.29,21.1,0
CL000408,A26,motor,online,3,2,13.1,3352.1,45.7,1
CL000409,A26,motor,online,5,0,6.5,16645.61,50.1,1
CL000410,A21,property,phone,5,1,9.4,3089.64,44.4,0
CL000411,A25,health,online,2,0,4.5,6318.22,16.6,0
CL000412,A25,motor,online,2,0,5.2,2114.96,34.2,0
CL000413,A6,travel,online,2,0,8.0,3305.89,27.6,0
CL000414,A13,travel,online,2,0,18.2,585.25,21.1,0
CL000415,A14,health,phone,2,4,8.8,6040.68,24.6,0
CL000416,A12,property,online,1,2,1.5,704.02,14.8,0
CL000417,A28,motor,online,1,2,9.6,953.14,13.5,0
CL000418,A10,health,online,2,0,3.3,2041.97,15.4,0
CL000419,A9,travel,broker,3,2,0.2,3488.77,41.3,1
CL000420,A13,motor,online,3,0,5.9,3098.71,24.4,0
CL000421,A5,motor,online,2,0,5.7,1744.57,29.3,0
CL000422,A17,travel,online,1,4,0.7,5450.41,18.2,0
CL000423,A18,health,phone,3,1,1.6,6726.22,18.1,0
CL000424,A17,property,online,4,1,11.4,1108.64,25.6,0
CL000425,A13,motor,online,3,1,18.0,13889.25,26.8,0
CL000426,A29,motor,broker,4,1,10.6,2563.79,25.0,0
CL000427,A4,property,online,5,1,12.9,13459.26,32.8,0
CL000428,A19,health,phone,4,0,5.1,2391.67,24.1,0
CL000429,A12,motor,broker,2,1,13.9,163.35,27.7,0
CL000430,A24,health,online,4,0,2.1,938.94,32.3,0
CL000431,A1,health,online,1,1,8.6,487.93,15.7,0
CL000432,A12,health,phone,3,0,16.0,13108.32,27.5,0
CL000433,A16,health,broker,4,0,2.6,1050.85,25.3,0
CL000434,A19,property,online,4,1,2.5,1280.96,24.4,0
CL000435,A0,health,broker,3,0,8.4,4761.45,20.8,0
